Floor number,Level Type,Difficulty,Quota,Breakables,Rooms,Traps,Holes,Sculk
2,CORRIDORS,10,16,24,6,7,5,1
3,HALLS,10,17,26,7,8,5,2
4,CRYPT,10,18,28,8,8,6,3
5,CAMP,,,,,,,
6,CHAMBERS,12,18,30,9,9,7,3
7,FACTORY,12,20,32,10,10,7,4
8,BACKROOMS,12,22,34,11,10,8,4
9,CAMP,,,,,,,
10,SEWER,14,20,36,12,11,8,5
11,LIBRARY,14,23,38,13,11,9,5
12,BUNKER,14,26,40,13,11,10,5
13,CAMP,,,,,,,
14,HALLS,16,22,42,14,12,10,6
15,LIBRARY,16,26,44,14,12,11,6
16,CORRIDORS,16,30,46,15,12,12,6
17,CAMP,,,,,,,
18,BACKROOMS,18,25,48,15,13,12,7
19,BUNKER,18,29,50,16,13,13,7
20,CHAMBERS,18,33,52,16,13,14,7
21,CAMP,,,,,,,
22,CRYPT,20,27,54,17,14,14,8
23,SEWER,20,32,56,17,14,15,8
24,FACTORY,20,37,58,18,14,16,8
25,CAMP,,,,,,,
26,Overdrive spawner,,,,,,,
27,CAMP,,,,,,,
28,LIBRARY,22,29,60,18,15,16,9
29,CHAMBERS,22,35,62,19,15,17,9
30,BACKROOMS,22,41,64,19,15,18,9
31,CAMP,,,,,,,
32,HALLS,24,32,66,20,16,18,10
33,BUNKER,24,38,68,20,16,19,10
34,SEWER,24,42,70,21,16,19,10
35,CAMP,,,,,,,
36,FACTORY,26,34,72,21,17,20,11
37,CORRIDORS,26,41,74,22,17,20,11
38,LIBRARY,26,48,76,22,17,21,11
39,CAMP,,,,,,,
40,CRYPT,28,36,78,23,18,21,12
41,CHAMBERS,28,44,80,23,18,22,12
42,BACKROOMS,28,52,82,24,18,22,12
43,CAMP,,,,,,,
44,SEWER,30,38,84,24,19,23,13
45,CRYPT,30,47,86,25,19,23,13
46,HALLS,30,56,88,25,19,24,13
47,CAMP,,,,,,,
48,BUNKER,32,40,90,26,20,24,14
49,FACTORY,32,50,95,26,20,25,14
50,CORRIDORS,32,60,100,30,25,30,14
51,CAMP,,,,,,,
52,Archaic Guard,,,,,,,
